Kyle Larson,499
Christopher Bell,459
Denny Hamlin,443
William Byron,547
Ryan Blaney,417
Joey Logano,380
Ross Chastain,377
Austin Cindric,303
Josh Berry,278
Chase Elliott,442
Tyler Reddick,429
Bubba Wallace,343
Chase Briscoe,342
Alex Bowman,334
Chris Buescher,297
Kyle Busch,291
Ryan Preece,289
Carson Hocevar,287
Ricky Stenhouse Jr.,285
A. J. Allmendinger,284
Michael McDowell,278
John Hunter Nemechek,267
Todd Gilliland,261
Erik Jones,259
Zane Smith,255
Austin Dillon,252
Ty Gibbs,236
Daniel Suarez,231
Justin Haley,218
Ty Dillon,217
Noah Gragson,214
Brad Keselowski,194
Shane van Gisbergen,173
Cole Custer,173
Riley Herbst,173
Cody Ware,84
Jimmie Johnson,35
Corey LaJoie,24
Katherine Legge,7
Derek Kraus,5
Chad Finchum,3
Casey Mears,2
Burt Myers,1
Martin Truex Jr.,1
Helio Castroneves,0
